Name,Grower,Retail Price,Unit,Available,Estimate or Exact,Description
Apple -- Fuji,Buffalo Trail Orchard,5,1/2 peck (5 lbs),5,Exact,Red and green apple with a sweet taste.  Good for eating and sauce.
Apple -- Pink Lady,Buffalo Trail Orchard,5,1/2 peck (5 lbs),0,Exact,A crisp flavorful red apple.  Good for eating and cooking. 
Apples -- Dried,Buffalo Trail Orchard,3,4 oz bag,13,Exact,"Dried Fuji and Pink Lady apples grown, harvested, and dried in an Excalibur Food Dehydrator at Buffalo Trail Orchard.  100%  pure fruit with no preservatives.  Size: 4 oz.   "
Beef--Brisket,Shiny C Farm,12.34,2.06,0,Exact,"Would you like to have the guys over to watch the game? Why not feed the gang with beef brisket from Shiny C Farm? Our grass finished, USDA inspected, and vacuumed packed beef would be a wonderful idea. For more information, please visit our website at shinycfarm.com"
Beef--Chuck Roast,Shiny C Farm,16.02,2.675 lb average,0,Exact,"Try a chuck roast for dinner and see how the family will cheer! This is a delicious longhorn roast from Shiny C Farm. Our beef is grass finished, USDA inspected and vacuumed packed. For more information go to Shinycfarm.com
"
Beef--Cube Steak,Shiny C Farm,2.38,.60 lb average,1,Exact,"If you love beef, then try Shiny C Farm's yummy cube steak. Our beef is grass finished, USDA inspected and vacuumed packed. For more information, please visit our website at shinycfarm.com"
Beef--Ground,Shiny C Farm,4.6,1.05 lb average,0,Exact,"This is grass finished longhorn beef. It is very lean and quite tasty! It is frozen, USDA inspected, and vacuumed packed. It is also lower in calories and fat compared to regular ground beef. Check out our website for more information: shinycfarm.com"
Beef--Liver,Shiny C Farm,2.02,1.02 lb average,2,Exact,Attention all liver lovers!! Shiny C Farm now has liver available.
Beef--New York Strip Steak,Shiny C Farm,7.7,.60 lb average,0,Exact,Who says you can't grill out just because the weather is cooler? You will want to with a New York Strip steak from Shiny C Farm. Our beef is grass-finished and USDA inspected. For more information please visit our website at shinycfarm.com.
Beef--Patties,Shiny C Farm,4.29,1.00 lb average,0,Exact,Try Shiny C Farm's beef patties. Already patted out and ready to fix with four patties in each pack.
Beef--Ribeye Steak,Shiny C Farm,11.75,.98 lb average,1,Exact,"Are you still yearning for those warm days when you fired up the grill and fixed a steak with all the trimmings? Well, dust the grill back off and try a ribeye steak from Shiny C Farm. Our beef is USDA inspected and grass-finished. For more information go to shinycfarm.com."
Beef--Sirloin Roast,Shiny C Farm,15.15,2.53,0,Exact,"Are you wondering what to have for Sunday's lunch? Try a sirloin roast from Shiny C Farm. A wonderful, grass finished roast placed in the crock pot will smell wonderful when you come through the door. For more information about our beef go to our website at shinycfarm.com"
Beef--Sirloin Steak,Shiny C Farm,6.09,.91 lb average,0,Exact,Are you longing for a steamy plate of stir-fryed vegtables and strips of sirloin beef over rice? Then try the boneless sirloin steak from Shiny C Farm. USDA inspected longhorn beef that is grass-finished would make the perfect dinner. For more information go to shinycfarm.com.
Beef--Tips,Shiny C Farm,5.04,1.01 lb average,0,Exact,"Would you like to make some beef tips and gravy or just a simmering pot of beef stew? Then we have what you need to start your dish. Grass finished, USDA inspected, and vacuumed packed longhorn beef tips from Shiny C Farm. For more information visit our website at shinycfarm.com "
Blackberries - Frozen (Tame),Buffalo Trail Orchard,15,"Gallon, Frozen",4,Exact,Frozen tasty tame blackberries grown at Buffalo Trail Orchard.  These are the same blackberries that Buffalo Trail Orchard sold fresh at the market during the summer.  
Blueberries - Frozen,Buffalo Trail Orchard,24,"Gallon, Frozen",0,Exact,Frozen delicious blueberries grown at Buffalo Trail Orchard.  
Bread - Woodfired Peacock Roll,Peacock Artisan Breads,8,1.2 lb roll,9,Estimated,
Bread--Cinnamon Raisin,Peacock Artisan Breads,8,1lb loaf,10,Estimated,
Bread--Cranberry Walnut,Peacock Artisan Breads,8,1.25 lb roll,10,Estimated,
Bread--Multigrain Harvest,Good Fork Farm,6,"1 loaf, approx 1lb 4oz",6,Exact,"Like all our breads, Multigrain Harvest is made with stoneground Organic flour from Lindley Mills in Graham, NC. We add millet, whole oats, wheat bran, and cormeal, local wildflower honey, raw sugar, and buttermilk to get one of our most popular breads and our favorite for toast or grilled cheese. Now in loaf form for your sandwich convenience!"
Bread--State of Franklin Sourdough,Good Fork Farm,5,"1 loaf, approx 1lb 4oz",3,Exact,"Organic stoneground wheat flour, water, and salt, leavened with our own blend of wheat and rye sourdough starters. If you think real sourdough flavor only lives on the left coast, try this bread!"
Bread--Woodfired Apple Butter with Apple Ring,Peacock Artisan Breads,8,1 lb roll,10,Estimated,
Bread--Woodfired Sourdough Rye,Peacock Artisan Breads,5,1.5 lb boule,9,Estimated,
Bread--Woodfired Sourdough Rye and Swiss,Peacock Artisan Breads,8,1.2 lb roll,0,Estimated,
Bread--Woodfired Sourdough Wheat,Peacock Artisan Breads,5,1.5 lb boule,9,Estimated,
Bread--Woodfired Sourdough White,Peacock Artisan Breads,5,1.5 lb boule,10,Estimated,
Bread--Woodfired Tomato Basil,Peacock Artisan Breads,7,1.5 lb boule,9,Estimated,
Bread--Woodfired Tomato Basil with Cheddar,Peacock Artisan Breads,8,1.2 lb roll,10,Estimated,
Cake--Apple Cake,Carol's Cakes (formerly Two Sisters Baking),6,10 oz.,3,Exact,"A delicious, moist cake with Granny Smith apples and topped with a buttery, sugary glaze.  Serves 2-4."
Cake--Carrot,Carol's Cakes (formerly Two Sisters Baking),25,9-inch 3-layer,2,Exact,"A delicious, moist cake topped with cream cheese frosting.  It contains one (1) pound of carrots and a small amount of walnuts.  It is a 9-inch 3-layer cake and serves approximately 14."
Cake--Coconut Pound Cake,Carol's Cakes (formerly Two Sisters Baking),6,10 oz.,3,Exact,"A 10 ounce delicious, moist coconut cake topped with glaze and baked coconut.  Serves 2-4."
Cake--Gluten-Free Carrot,Carol's Cakes (formerly Two Sisters Baking),6,10 oz.,3,Exact,"A 10 oz. delicious, moist gluten-free carrot cake topped with cream cheese frosting.  Contains walnuts.  Serves 2-4."
Cake--Gluten-Free Red Velvet,Carol's Cakes (formerly Two Sisters Baking),6,10 oz.,3,Exact,"A 10 oz. delicious, colorful gluten-free cake with a hint of chocolate topped with cream cheese frosting. Serves 2-4."
Cake--Red Velvet,Carol's Cakes (formerly Two Sisters Baking),25,9-inch 3-layer,2,Exact,"A delicious, colorful cake with a hint of chocolate and frosted with cream cheese frosting.  This is a 9-inch 3-layer cake."
Cake--Strawberry Delight,Carol's Cakes (formerly Two Sisters Baking),15,8 X 8 inch container,2,Estimated,"Similar to strawberry shortcake with a light and creamy angel food base, topped with fresh strawberries.  Absolutely delicious! "
Cake--Strawberry Delight,Carol's Cakes (formerly Two Sisters Baking),5,1 lb. tin,3,Estimated,"Similar to strawberry shortcake with a light and creamy angel food base, topped with fresh strawberries.  Absolutely delicious! This is a small 1 lb. tin and serves 2-4."
Cake-Gluten-Free Carrot,Carol's Cakes (formerly Two Sisters Baking),30,9-inch 3-layer,2,Exact,"A delicious, moist gluten-free carrot cake topped with cream cheese frosting.  It contains one (1) pound of carrots and a small amount of walnuts.  It is a 9-inch 3-layer cake and serves approximately 14."
Cake-Gluten-Free Red Velvet,Carol's Cakes (formerly Two Sisters Baking),30,9-inch 3-layer,2,Exact,"A delicious, colorful, moist gluten-free cake with a hint of chocolate and  topped with cream cheese frosting.  This is a 9-inch 3-layer cake. Approximately 14 servings. "
Candies--Vanilla Crunch,Carol's Cakes (formerly Two Sisters Baking),7,10 oz. bag,2,Exact,Vanilla Crunch is a salty and sweet combination of pretzels and peanuts covered with vanilla melts. Caution:  this snack may be habit forming!
Chicken - Non GMO half Chicken,JEM Farm,9,Ea,9,Exact,"On sale this week.....

1 breast, 1 leg quarter and 1 wing.

Same as our other birds and just as delicious.  "
Chicken Backs non GMO,JEM Farm,5,Ea,2,Exact,"It's thinking about winter, the wind is biting and it's already dipped into the teens. What's this mean SOUP, and trust me you won't ever make a better batch of soup than with our no non GMO chicken backs. 

Packs of 2 each about 2.5 lbs. "
Chicken Gizzards non GMO,JEM Farm,2,Ea,10,Exact,"Man this reminds me of my mother. She wouldn't touch a chicken gizzard with a 10 foot pole BUT she would fix them for the dogs. These are in about 1 pound packages and of course USDA inspected. 

"
Chicken Hearts,JEM Farm,2,Ea,0,Exact,"Your breaking my heart, well not really but we have'em. In about half pound packs. "
Chicken Livers,JEM Farm,2,Ea,2,Exact,Oh Yum.....can't you just taste them now. Chicken livers in about 1 pound bags and yes they're from OUR birds not Walmart................ha!
Chicken Necks - non GMO,JEM Farm,2.5,Ea,2,Exact,"Chicken soup for your soul but you can't get any better soup using anything else. 

1 pound packs"
